Drug Name,ICD10,logit_or,logit_p
Doxycycline Anhydrous,C09,0.5078481166052785,0.0155179629234851
Rifaximin,C73,0.4993795499669564,0.0162325788381009
Carbidopa Anhydrous,C91,0.5549524556218995,0.0437984237641339
Sodium Citrate,C22,0.4475478426135438,0.0048939056497613
Meloxicam,C02,0.4476399915705452,0.0049005004228365
Esmolol,C61,0.4727046097942222,0.0093885776835855
Ritonavir,C56,0.4221219886824089,0.0024157466308522
Entacapone,C44,0.5041855237081073,0.0184754877457865
Ritonavir,C22,0.3609888461392597,0.0002833966209991
Lacosamide,C61,0.4353971962616934,0.0049280662089132
Acetazolamide,C73,0.5086583083939479,0.0240101572387015
Ubrogepant,C50,0.5062284654121623,0.0234360333075594
Rivastigmine,C61,0.4870480191088082,0.0163992757818964
Sotalol,C50,0.5465504152384396,0.0459516805596781
Fluorescein,C44,0.3326391987703852,0.0001387564872632
Entacapone,C80,0.49593023255814,0.0195091935597009
Ritonavir,C73,0.2636595115022966,2.7869136360433836e-06
Ritonavir,C64,0.3679992568359851,0.0005908664211263
Zinc Acetate Anhydrous,C7A,0.4170286847519631,0.0029447340146193
Proguanil,C34,0.5380224260956699,0.0396381897810129
Midodrine,C54,0.5412019343265038,0.0497043144010278
Naltrexone,C61,0.4629566521265066,0.0124992111183359
Donepezil,C54,0.3327355084960098,0.0002414673347654
Carbamazepine,C61,0.424246781882666,0.0050960758513052
Oxcarbazepine,C61,0.4512275433934685,0.0129628478521745
Rasagiline,C80,0.4859717778429334,0.0257267065190873
Phenytoin,C47,0.4600655783696638,0.0155106874236035
,C50,0.3265171806841588,0.0003365289398206
Remdesivir,C47,0.4885454181672702,0.0263706762038991
Formoterol,C7A,0.4435705859221354,0.0109378779356507
Memantine,C22,0.4993292342090593,0.0315499426779453
Ranolazine,C43,0.499373237229702,0.0315625491978149
Milrinone,C22,0.3993186979560949,0.0037209581608143
Velpatasvir,C61,0.3827032026823952,0.0024304141480794
Isosorbide,C32,0.5104149045438566,0.0376379662584995
Misoprostol,C18,0.4703329330445848,0.0187562586254851
Isoproterenol,C61,0.2969686033922766,9.194425435851748e-05
Chlordiazepoxide,C7A,0.3722669170719038,0.0026389239019794
Remdesivir,C44,0.2878776479692223,0.0001160418520176
Valacyclovir,C02,0.4679852384265446,0.0234048347852251
Carbidopa Anhydrous,C73,0.4777418669937928,0.0278382314926585
Meclizine,C32,0.4887751500971271,0.0333361110012931
Metolazone,C73,0.3601161652877551,0.0018318770359623
Digoxin,C73,0.4675946156603985,0.0233144978540059
Oxybutynin,C32,0.3790940081289714,0.0031898352464519
Ritonavir,C65,0.4227742352086607,0.009506772703243
Ticagrelor,C73,0.4996237257988005,0.0396370941663777
Midodrine,C73,0.467628811925384,0.0233223956835282
Nepafenac,C61,0.4299434187016125,0.0161046003864762
Remdesivir,C18,0.4534318274620437,0.0241435825922766
Diphenoxylate,C73,0.4248472091902825,0.0140382906433889
Metformin,C01,0.4650525842377956,0.0292154453514502
Nitroglycerin,C01,0.4165640791155249,0.0117700624540936
Phentermine,C79,0.4068266873144932,0.0096477421437925
Cefoxitin,C22,0.3629807917435232,0.003219744795468
Meloxicam,C10,0.4165813216288004,0.0117724978642683
Sodium Citrate,C92,0.4760555815125615,0.0349396824941629
Pyridostigmine,C61,0.4844015882019161,0.0406605193151047
Regadenoson Anhydrous,C54,0.3993700125997517,0.0080989735716598
Levetiracetam,C55,0.4876390278650625,0.0417609496248587
Ritonavir,C20,0.4345130339394641,0.0169292247473316
Nitrofurantoin,C02,0.4614517946242238,0.0365160026389693
Galantamine,C61,0.4045415662182123,0.0138184542468869
Galantamine,C50,0.4347055018882118,0.0242906617134394
Cholecalciferol,C01,0.4185525988559985,0.0175072147896016
Daptomycin,C61,0.2971232876712331,0.0007092090793585
Ritonavir,C54,0.1891257856583466,1.8099822576652075e-06
Esmolol,C50,0.4367904165767626,0.0247888485121665
Meloxicam,C09,0.3599157291042648,0.0047735744378012
Nicardipine,C54,0.4386606452519953,0.025242055411187
Milrinone,C73,0.4610800229947031,0.0363997532332095
Memantine,C54,0.4494468037550231,0.0302826182877115
Dapagliflozin,C43,0.4609173190306229,0.0363489608314037
Sacubitril,C54,0.4611598261883436,0.036424684528016
Meclizine,C02,0.4184987996437503,0.017497050108385
Risperidone,C67,0.4282251315447721,0.020995379826176
Tretinoin,C22,0.4284153952843265,0.0210362604556437
Doxycycline Anhydrous,C01,0.4090312058923502,0.0145478512654282
Hydrocortisone,C01,0.4614971737526504,0.0365302104565035
Remdesivir,C7A,0.4275216516490211,0.0208447364246399
Ascorbic Acid,C01,0.4736032651563355,0.0438108264193398
Tetracaine,C73,0.4321649642101814,0.0314730791878626
Theophylline,C47,0.2377300775275567,0.0001245904709559
Potassium Sulfate,C54,0.4566075610571587,0.0455842284294648
Sacubitril,C73,0.3474184782608689,0.0058012992358196
Amiodarone,C09,0.4208927344945288,0.0261297528341403
Rivaroxaban,C10,0.3634594485303447,0.0084694399645396
Ubrogepant,C44,0.4688286615019951,0.0543701667278011
Zinc Acetate Anhydrous,C54,0.443963860053794,0.0378609925780742
Azelastine,C01,0.4443651020344996,0.037989708442766
Apixaban,C09,0.355452681056053,0.0070279320186256
Clopidogrel,C01,0.340341048258262,0.0048346305411792
Finasteride,C01,0.3998589799550084,0.0268577651523681
Nebivolol,C22,0.2792609970674464,0.0015842595955827
,C34,0.4106161292969064,0.0321986771706402
,C61,0.159281168341909,3.0171933391722308e-06
Ubrogepant,C79,0.4358648255813861,0.0469646054518721
Ticagrelor,C20,0.3885963112418292,0.0221652298164693
Rimegepant,C79,0.4103650977726116,0.0321260617138496
Umeclidinium,C73,0.2739716064467342,0.0013245515517894
Fluorescein,C34,0.3329864466413984,0.0070878331927748
Betamethasone,C06,0.42417681084347,0.0393235820810059
Betamethasone,C02,0.3181041181041201,0.0048847982958322
Ritonavir,C41,0.2689868310039965,0.0011109800365644
Ascorbic Acid,C09,0.4116943440112428,0.0325118599786666
Buspirone,C54,0.3995591939547054,0.0267807738357279
Phentermine,C80,0.3489731437598704,0.0102589947909478
Rivaroxaban,C09,0.3498418876185776,0.0103742675214548
Buprenorphine,C47,0.3143403867947318,0.0085191139864753
Epoprostenol,C61,0.2963917525773169,0.0056336005448249
Buprenorphine,C61,0.2911849026714778,0.0048207412255329
Rasagiline,C50,0.3977598008711905,0.0397204833145036
Aripiprazole,C67,0.3746824455923451,0.0273902916136262
Colistin,C61,0.4120706541929748,0.0484804401845448
Meloxicam,C01,0.2666022958909391,0.0023532426726671
Vilanterol,C73,0.3152699516444898,0.0086300868538632
