Model,RMSE,MAE,MSE,R2,Pearson,Median_AE,Explained_Variance,Data,Mode,Dataset,Type
LinkD,0.6029128351458175,0.373071802242135,0.3635038867835677,0.4093334226566254,0.649454178298482,0.1888622302052081,0.4216260369297169,Kiba,cold_drug,Validation,InHouse
Raw Diffusion,0.7101773723597443,0.471224950652133,0.5043519002117909,0.3100221224028554,0.6359167850913394,0.2994845327445077,0.3753698394591497,Kiba,cold_drug,Test,InHouse
Raw Random Forest,0.6781427661662961,0.4304943317290609,0.4598776113036757,0.3708651081347968,0.6133037588834485,0.2600088783300052,0.3708863975669699,Kiba,cold_drug,Test,InHouse
LinkD,0.6502695226554824,0.3971757819000659,0.422850452094589,0.4215200590010648,0.6616500389983265,0.2101925930566093,0.4370357371378289,Kiba,cold_drug,Test,InHouse
DeepDTA,0.7067221708887547,0.4472505748271942,0.4994562268257141,0.7006694674491882,0.83719653,0.20242023,0.700669527053833,BindDB,random,Training,InHouse
DeepDTA,0.92616910897835,0.5432354211807251,0.8577892184257507,0.4970420002937317,0.71591721,0.17312932,0.5102593898773193,BindDB,random,Validation,InHouse
DeepDTA,0.8645283248744329,0.5048219561576843,0.7474092245101929,0.5483201742172241,0.74590512,0.08022094,0.5554146766662598,BindDB,random,Test,InHouse
Diffusion,0.5076416021495741,0.3455427289009094,0.2576999962329864,0.8636720776557922,0.9337065931310872,0.2279787,0.8715601563453674,BindDB,random,Training,InHouse
Diffusion,0.7871923663211161,0.5223386883735657,0.6196718215942383,0.6796970367431641,0.8328933982695661,0.29793882,0.6919232606887817,BindDB,random,Validation,InHouse
Diffusion,0.7666830809190558,0.5018846988677979,0.5878029465675354,0.6867793798446655,0.8359568917124882,0.28389287,0.6974875926971436,BindDB,random,Test,InHouse
Transformer,0.9234451887452884,0.7122333645820618,0.8527510166168213,0.5488793849945068,0.7783076338094141,0.54557276,0.5939809083938599,BindDB,random,Training,InHouse
Transformer,1.2126390377435818,0.8879249691963196,1.4704934358596802,0.2399147152900695,0.5901872525220027,0.6004491,0.2743085026741028,BindDB,random,Validation,InHouse
Transformer,1.1250121857724904,0.835132360458374,1.265652418136597,0.3255760669708252,0.650629876100203,0.57799435,0.3713422417640686,BindDB,random,Test,InHouse
Random Forest,0.3077444326521014,0.1978187828562344,0.0947066358283637,0.9498984887529112,0.9812446336126212,0.1141658503109974,0.9499256231090052,BindDB,random,Training,InHouse
Random Forest,0.8514771129495219,0.5626912672296756,0.7250132738768528,0.6252469332707873,0.7935948521256626,0.3483169906158587,0.6253836084484194,BindDB,random,Validation,InHouse
Random Forest,0.8126723667464711,0.5285859462069993,0.6604363756733109,0.6480754905101689,0.8078073921174247,0.3074006059351122,0.6482004261692917,BindDB,random,Test,InHouse
SVR,1.0510894710955296,0.6202565283854721,1.1047890762478805,0.4155467370881236,0.6636617135875763,0.204260021236124,0.4392263025209374,BindDB,random,Training,InHouse
SVR,1.1324855587649658,0.6920742428076796,1.282523540811197,0.337074716575407,0.6079804245790058,0.3010090675892609,0.3696076218929501,BindDB,random,Validation,InHouse
SVR,1.0775467136814132,0.6453393205791293,1.1611069201656132,0.3812848619551817,0.6365523758353873,0.2388805528735811,0.4051561642259969,BindDB,random,Test,InHouse
GBM,0.9777668845480328,0.7048486562773835,0.956028080518766,0.4942439755177269,0.7201774020367226,0.4578645971752455,0.4942439755177269,BindDB,random,Training,InHouse
GBM,1.047080505393415,0.7538743216608274,1.0963775847749293,0.433291945138427,0.6722881061108812,0.4940310141846833,0.4344154091880101,BindDB,random,Validation,InHouse
GBM,1.0076139785825908,0.722446212812166,1.0152859298350378,0.4589880024629873,0.6903011446210109,0.4624406070713611,0.4590085739557275,BindDB,random,Test,InHouse
Linear Regression,1.0031083886724244,0.7054308732658559,1.0062264394249876,0.4676881421135775,0.6838773034819748,0.474064019359286,0.4676881662174652,BindDB,random,Training,InHouse
Linear Regression,1.1029103834812783,0.7693811848982764,1.2164113139908206,0.3712475526350151,0.6130283299040098,0.5090827941894531,0.3717293367661493,BindDB,random,Validation,InHouse
Linear Regression,1.0473941274113108,0.7369550996143226,1.097034458135701,0.4154269392274919,0.6456224958156188,0.4872227976515519,0.4154508010731922,BindDB,random,Test,InHouse
MLP,0.380473367901488,0.2584590970338702,0.144759983682301,0.9234193687997616,0.9617767775850128,0.1693532466888427,0.9249046201058992,BindDB,random,Training,InHouse
MLP,0.8423393169236473,0.543450875729008,0.7095355248353967,0.6332472473730861,0.8052809164559596,0.3006281245327074,0.6338627980580382,BindDB,random,Validation,InHouse
MLP,0.8073886903724149,0.5186006802559722,0.6518764973412833,0.6526367640775436,0.8146979374096666,0.2828428745269775,0.6535045339489842,BindDB,random,Test,InHouse
XGBoost,0.514337320893196,0.3524514468912924,0.2645428796635904,0.8600520655720179,0.9305701608478496,0.2306473640466144,0.8600520678348637,BindDB,random,Training,InHouse
