Drug Chembl ID,Drug Name,Clinical Trial Phase
CHEMBL4650329,Afimetoran,2.0
CHEMBL4650894,Isuzinaxib,2.0
CHEMBL4745471,Chembl4745471,
CHEMBL488093,Pyritinol,3.0
CHEMBL501122,Ceftaroline Fosamil,4.0
CHEMBL5084939,Chembl5084939,
CHEMBL512306,[18F]D,2.0
CHEMBL541758,Fasitibant Chloride,2.0
CHEMBL560739,Chembl560739,
CHEMBL607856,Chembl607856,
CHEMBL62381,Sodium Butyrate,2.0
CHEMBL64130,Napabucasin,3.0
CHEMBL71927,Chembl71927,
CHEMBL815,Dinoprost,4.0
CHEMBL1079604,Metaxalone,4.0
CHEMBL1091702,Chembl1091702,
CHEMBL1094704,Chembl1094704,
CHEMBL1098244,Chembl1098244,
CHEMBL1128,Edrophonium Chloride,4.0
CHEMBL1200572,Magnesium Oxide,4.0
CHEMBL1200636,Cyclobenzaprine Hydrochloride,4.0
CHEMBL1200930,Rabeprazole Sodium,4.0
CHEMBL1230333,Chembl1230333,
CHEMBL1232767,Fluoride,3.0
CHEMBL1234033,Chembl1234033,
CHEMBL1235535,Nicotinyl Alcohol,-1.0
CHEMBL1270016,Chembl1270016,
CHEMBL1326877,Dioxybenzone,2.0
CHEMBL133209,Chembl133209,
CHEMBL1366322,Chembl1366322,
CHEMBL1373,Modafinil,4.0
CHEMBL1543306,Chembl1543306,
CHEMBL1627201,L-Sulforaphane,2.0
CHEMBL1645465,Chembl1645465,
CHEMBL165790,Ipriflavone,2.0
CHEMBL16645,P-Cresol,
CHEMBL1697763,Nifurtoinol,2.0
CHEMBL1743261,Mexazolam,2.0
CHEMBL1773903,Fucoxanthin,2.0
CHEMBL1897738,Clinofibrate,2.0
CHEMBL1957106,Chembl1957106,
CHEMBL2104788,Imidazole Salicylate,2.0
CHEMBL2107214,Iomeprol,3.0
CHEMBL213745,Chembl213745,
CHEMBL227745,Chembl227745,
CHEMBL2364574,Doxycycline Calcium,4.0
CHEMBL2365481,Chembl2365481,
CHEMBL2430532,Chembl2430532,
CHEMBL269634,Chembl269634,
CHEMBL279676,Tenocyclidine,2.0
CHEMBL305785,Chembl305785,
CHEMBL310840,Chembl310840,
CHEMBL3128043,Pf-03758309,1.0
CHEMBL332551,Chembl332551,
CHEMBL3329670,Chembl3329670,
CHEMBL3589324,Chembl3589324,
CHEMBL3646221,Vadadustat,4.0
CHEMBL372164,Chembl372164,
CHEMBL372795,Streptomycin,4.0
CHEMBL373466,"(R)-1,2-Dichloropropane",
CHEMBL3774827,Chembl3774827,
CHEMBL3976807,Pco-371,1.0
CHEMBL3990047,Ozenoxacin,4.0
CHEMBL4085868,Chembl4085868,
CHEMBL4159909,Chembl4159909,
CHEMBL416898,Chlorophenothane,4.0
CHEMBL4169998,Chembl4169998,
CHEMBL422,Trifluoperazine,4.0
CHEMBL4246481,Chembl4246481,
CHEMBL4297147,Haloperidol Lactate,4.0
CHEMBL4297310,Dordaviprone,3.0
CHEMBL4297420,Radium Ra-223,3.0
CHEMBL4297649,Olacaftor,2.0
CHEMBL440,Thiamylal,4.0
CHEMBL4446378,Tapotoclax,1.0
CHEMBL4475494,Chembl4475494,
CHEMBL4594250,Netarsudil,4.0
CHEMBL4594262,Amlodipine Benzoate,4.0
CHEMBL4594378,Vorasidenib Citrate,1.0
CHEMBL463,Aminohippuric Acid,4.0
CHEMBL466269,Chembl466269,
CHEMBL467058,Laninamivir Octanoate,4.0
CHEMBL475794,Chembl475794,
CHEMBL48449,Cantharidin,4.0
CHEMBL5,Nalidixic Acid,4.0
CHEMBL505943,Chembl505943,
CHEMBL5095062,Enbezotinib,2.0
CHEMBL5095079,Povorcitinib,3.0
CHEMBL5095196,Slc-391,1.0
CHEMBL512351,Betrixaban,4.0
CHEMBL560511,Buprenorphine,
CHEMBL563377,Chembl563377,
CHEMBL56438,Chembl56438,
CHEMBL574060,Chembl574060,
CHEMBL594050,Chembl594050,
CHEMBL602070,Bms-394136,1.0
CHEMBL78794,2-Phenyl-Malonic Acid,
CHEMBL1009,Levodopa,4.0
CHEMBL1082407,Enzalutamide,4.0
CHEMBL1163086,Chembl1163086,
CHEMBL1200595,Chlorphentermine Hydrochloride,4.0
CHEMBL1200928,Zinc Acetate Anhydrous,4.0
CHEMBL1200934,Norgestimate,4.0
CHEMBL1201046,Ceforanide,4.0
CHEMBL1201287,Dexbrompheniramine,4.0
CHEMBL1201794,Riboflavin 5'-Phosphate,4.0
CHEMBL1221,Sulconazole,4.0
CHEMBL1222152,D-Allose,
CHEMBL1231821,Hydrochloric Acid,-1.0
CHEMBL1232472,Chembl1232472,
CHEMBL125181,L-371912,
CHEMBL1256716,Urapidil Hydrochloride,1.0
CHEMBL1270229,Chembl1270229,
CHEMBL1280,Verapamil Hydrochloride,4.0
CHEMBL134529,Chembl134529,
CHEMBL1417970,Chembl1417970,
CHEMBL15870,Indoprofen,4.0
CHEMBL1697756,Marvelon,3.0
CHEMBL1716091,Sdx-101,2.0
CHEMBL1788401,Cyclobendazole,2.0
CHEMBL1836673,Chembl1836673,
CHEMBL195328,2-Fluoro-Phenylamine,
CHEMBL2024567,Englerin A,
CHEMBL2057915,Chembl2057915,
CHEMBL2096642,Inamrinone Lactate,4.0
CHEMBL2104283,Febarbamate,2.0
CHEMBL2104496,Thiamine Mononitrate,3.0
CHEMBL2105897,Barium Sulfate,4.0
CHEMBL2138684,Frovatriptan Succinate,4.0
CHEMBL2177634,Chembl2177634,
CHEMBL219046,Psi-697,1.0
CHEMBL2303614,Chondroitin Sulfate,3.0
CHEMBL23261,Darusentan,3.0
CHEMBL2393177,Chembl2393177,
CHEMBL2419346,Cudc-305,1.0
CHEMBL25894,Zingerone,
CHEMBL3039507,Sotagliflozin,4.0
CHEMBL3137308,Peficitinib,4.0
CHEMBL321248,7-Methylxanthine,2.0
CHEMBL3337894,T-26C,
CHEMBL3545058,Dextrothyroxine Sodium,4.0
CHEMBL356512,Chembl356512,
CHEMBL357057,Chembl357057,
CHEMBL3601398,Cgm-097,1.0
CHEMBL3716385,Chembl3716385,
CHEMBL3833315,Aluminum Phosphate,2.0
CHEMBL384304,Rg-547,2.0
CHEMBL388931,Chembl388931,
CHEMBL397666,Chembl397666,
CHEMBL3989703,Tezampanel,2.0
CHEMBL3989919,Fosnetupitant Chloride Hydrochloride,4.0
CHEMBL3989973,Pexidartinib Hydrochloride,4.0
CHEMBL4065323,Chembl4065323,
CHEMBL4073292,Bms-962212,1.0
CHEMBL4085457,Ritlecitinib,4.0
CHEMBL4116649,Lenumlostat,2.0
CHEMBL4167646,Chembl4167646,
CHEMBL4211162,Chembl4211162,
CHEMBL422648,Prulifloxacin,3.0
CHEMBL42442,Oxfendazole,2.0
CHEMBL4297260,Amy-101,2.0
CHEMBL4537788,Bay-784,
CHEMBL45627,Cerulenin,
CHEMBL4639128,Gsk778,
CHEMBL4650327,Govorestat,3.0
CHEMBL4752723,Chembl4752723,
CHEMBL4876167,Vv-116 Free Base,2.0
CHEMBL495831,Chembl495831,
CHEMBL515408,Maribavir,4.0
CHEMBL522302,Vofopitant,2.0
CHEMBL539378,Laniquidar,2.0
CHEMBL54976,Tryptophan,4.0
CHEMBL562318,Mardepodect,2.0
CHEMBL602,Cysteamine,4.0
CHEMBL64934,Chembl64934,
CHEMBL67158,Chembl67158,
CHEMBL7064,Chembl7064,
CHEMBL94109,Chembl94109,
CHEMBL1088949,Chembl1088949,
CHEMBL1089819,Chembl1089819,
CHEMBL1096979,Benserazide,4.0
CHEMBL1160756,Chembl1160756,
CHEMBL1200627,Propiolactone,4.0
CHEMBL1200692,Olmesartan Medoxomil,4.0
CHEMBL1200851,Homatropine Methylbromide,4.0
CHEMBL1201256,Trimethobenzamide,4.0
CHEMBL1213420,Droxicam,2.0
CHEMBL1231562,Chembl1231562,
CHEMBL1235432,Chembl1235432,
CHEMBL1235722,5'-Phosphoribose,
CHEMBL1325250,Chembl1325250,
CHEMBL136497,Irsogladine,2.0
CHEMBL1434,Minocycline,4.0
CHEMBL1465144,Chembl1465144,
CHEMBL154111,Salsalate,4.0
CHEMBL161381,"Emtricitabine, (+/-)-",2.0
CHEMBL1652606,Ceftobiprole Medocaril,3.0
CHEMBL1763,Hydroflumethiazide,4.0
CHEMBL187139,Chembl187139,
CHEMBL191141,Chembl191141,
CHEMBL1964261,Chembl1964261,
CHEMBL202701,3-Deazaadenosine,
CHEMBL2048791,Chembl2048791,
CHEMBL207538,Brexanolone,4.0
CHEMBL207729,Chembl207729,
CHEMBL2104415,Moxidectin,4.0
CHEMBL2104900,Pipazethate,2.0
CHEMBL2105544,Amphecloral,2.0
CHEMBL2106829,Methaqualone Hydrochloride,4.0
CHEMBL217406,Neurokinin A,
CHEMBL2180982,Chembl2180982,
CHEMBL2218893,Bedoradrine Sulfate,2.0
CHEMBL2286758,Chembl2286758,
CHEMBL2368861,Buprenorphine Hydrochloride,4.0
CHEMBL253951,Chembl253951,
CHEMBL254050,Chembl254050,
CHEMBL307697,Sivifene,2.0
CHEMBL316040,Tepoxalin,2.0
CHEMBL3221419,Chembl3221419,
CHEMBL3235682,Chembl3235682,
CHEMBL3298371,Chembl3298371,
CHEMBL3330130,Chembl3330130,
CHEMBL3417704,Chembl3417704,
CHEMBL3542265,Ly2452473,2.0
CHEMBL3589356,Chembl3589356,
CHEMBL368238,Chembl368238,
CHEMBL376897,Methscopolamine,4.0
CHEMBL3828191,Chembl3828191,
CHEMBL3931782,Molidustat Sodium,1.0
CHEMBL4064361,Chembl4064361,
CHEMBL408500,N-(N-Nonyl)Deoxynojirimycin,
CHEMBL4243458,Chembl4243458,
CHEMBL4298141,Asalhydromorphone,2.0
CHEMBL443605,Hexylresorcinol,4.0
CHEMBL4455382,Chembl4455382,
CHEMBL458973,Chembl458973,
CHEMBL460026,Icosapent,3.0
CHEMBL488994,Chembl488994,
CHEMBL492527,Chembl492527,
CHEMBL497318,Cannabigerol,1.0
CHEMBL502109,Benzalkonium Chloride,4.0
CHEMBL504652,Tc-2216,1.0
CHEMBL50588,Emetine,2.0
CHEMBL5095506,Crictibant,2.0
CHEMBL5222242,Chembl5222242,
CHEMBL530,Amdinocillin,4.0
CHEMBL5314373,"Cefprozil, (E)-",4.0
CHEMBL593830,Chembl593830,
CHEMBL598172,Nelotanserin,2.0
CHEMBL84446,Fidarestat,2.0
CHEMBL869,Nitrofurazone,4.0
CHEMBL9417,Chembl9417,
CHEMBL95,Tacrine,4.0
