Drug,cluster,Selectivity_Score,entropy_sel_n,gini_sel_n,kurt_n,gap_n,sr_n,Type,x,y,Drug Chembl ID,Drug Name,Clinical Trial Phase
CHEMBL2105935,0,0.1248264394011128,0.10635054979403132,0.001175014342607622,0.22191542107135503,0.09732373571098328,0.09543456138696163,Type III: Broad-spectrum,7.5431733,1.455038,CHEMBL2105935,Choline Bitartrate,3.0
CHEMBL2105945,2,0.16012802407149487,0.22727482136269006,0.004123116479038378,0.487749798638617,0.00986600303834863,0.009658160095213673,Type I: Highly Selective,5.7211747,10.015589,CHEMBL2105945,Aceneuramic Acid,3.0
CHEMBL2105949,2,0.16549725926657438,0.1830011403242552,0.006893407815257179,0.25311182566473317,0.03583830887531393,0.029114430428857835,Type I: Highly Selective,6.9406238,6.2143354,CHEMBL2105949,Arzoxifene Hydrochloride,2.0
CHEMBL2105950,2,0.22164541507060057,0.31344376822627096,0.006886725426660359,0.40793556834538386,0.06463577619265709,0.054562644196848746,Type I: Highly Selective,2.9681163,8.902192,CHEMBL2105950,Amoxicillin Sodium,4.0
CHEMBL2105953,0,0.12258991371978116,0.11334141467591108,0.00195790592865147,0.20003397594857708,0.008326179945538243,0.0070300788318786505,Type III: Broad-spectrum,10.908393,3.649151,CHEMBL2105953,Cefteram,2.0
CHEMBL2105961,2,0.16716423768589095,0.23330847985892114,0.003949219974667018,0.49426169316979207,0.0013221336635888274,0.0012387838148717977,Type I: Highly Selective,5.649522,10.079804,CHEMBL2105961,Aminopromazine,2.0
CHEMBL2105965,0,0.1626936352911214,0.10142098601008136,0.0014353368736692341,0.212733282607339,0.1465997655539133,0.12402315535786895,Type III: Broad-spectrum,5.1379046,1.7466179,CHEMBL2105965,Acolbifene Hydrochloride,2.0
CHEMBL2105967,2,0.13601238835590684,0.19946612433090838,0.0029348594019243724,0.4316352521096296,0.00298563879963812,0.0030670269985796097,Type I: Highly Selective,6.991829,9.035339,CHEMBL2105967,Adelmidrol,2.0
CHEMBL2105977,2,0.2347896282097683,0.2585167482922135,0.0062641369388690745,0.34841034513736274,0.15208357509467688,0.12252251813188131,Type I: Highly Selective,2.4369228,6.8157597,CHEMBL2105977,Cimetropium Bromide,3.0
CHEMBL2105983,2,0.1869052925332376,0.1821768727518473,0.0028085471192336483,0.5387594261972265,0.08129446616826713,0.07382588360056694,Type I: Highly Selective,3.99482,8.948099,CHEMBL2105983,Aminosalicylate Calcium,-1.0
CHEMBL2105987,0,0.093276075635831,0.054092485435254696,0.00044574264445499783,0.10863584592442035,0.051370214588066336,0.04729900866470624,Type III: Broad-spectrum,11.847011,-0.60719365,CHEMBL2105987,Atamestane,3.0
CHEMBL2106003,0,0.10295697267017426,0.0724829179593498,0.0007792620807065038,0.18968969112164985,0.012103534894189139,0.010628753094952353,Type III: Broad-spectrum,12.90408,2.0633519,CHEMBL2106003,Cipralisant Maleate,1.0
CHEMBL2106004,0,0.13191306601611877,0.10414614618330297,0.0017817475603616904,0.1078051648048582,0.09791415244770109,0.08568079811072359,Type III: Broad-spectrum,7.9723635,0.90833753,CHEMBL2106004,Bisoxatin Acetate,2.0
