cell,comparator,ratio,adjustment,seed,window_days,window_label,n_treat,n_ctrl,events_treat,events_ctrl,status,reason,or,ci_lower,ci_upper,p_value,se,n,n_events,n_covariates
AvsB_1to2_full,B,2,full,9,1095,3y,24096,48192,52,155,success,,0.6331,0.4568,0.8774,0.006046084705702405,0.1665,72288.0,207.0,14.0
AvsB_1to2_full,B,2,full,9,1825,5y,24096,48192,75,205,success,,0.6894,0.5213,0.9117,0.009103766777478551,0.1426,72288.0,280.0,14.0
AvsB_1to2_simple,B,2,simple,0,365,1y,24063,48126,17,86,success,,0.5471,0.3394,0.8819,0.013288949054947005,0.2436,72189.0,103.0,6.0
AvsB_1to2_simple,B,2,simple,0,730,2y,24063,48126,35,153,failed,non-convergence,,,,,,,,
AvsB_1to2_simple,B,2,simple,0,1095,3y,24063,48126,52,170,failed,non-convergence,,,,,,,,
AvsB_1to2_simple,B,2,simple,0,1825,5y,24063,48126,75,178,success,,0.8396,0.6372,1.1061,0.21381406035519734,0.1407,72189.0,253.0,6.0
AvsC_1to1_full,C,1,full,0,365,1y,24096,24096,17,44,failed,non-convergence,,,,,,,,
AvsC_1to1_full,C,1,full,0,730,2y,24096,24096,35,67,failed,non-convergence,,,,,,,,
AvsC_1to1_full,C,1,full,0,1095,3y,24096,24096,52,94,success,,0.5039,0.3536,0.7181,0.00014915304459607001,0.1807,48192.0,146.0,14.0
AvsC_1to1_full,C,1,full,0,1825,5y,24096,24096,75,127,success,,0.519,0.383,0.7034,2.3502427640257308e-05,0.1551,48192.0,202.0,14.0
AvsC_1to1_full,C,1,full,1,365,1y,24096,24096,17,50,success,,0.3073,0.1756,0.5378,3.5937636322260005e-05,0.2855,48192.0,67.0,14.0
AvsC_1to1_full,C,1,full,1,730,2y,24096,24096,35,84,success,,0.3802,0.2534,0.5705,2.9920417275798522e-06,0.207,48192.0,119.0,14.0
AvsC_1to1_full,C,1,full,1,1095,3y,24096,24096,52,96,success,,0.4982,0.3511,0.7069,9.484081072921956e-05,0.1785,48192.0,148.0,14.0
AvsC_1to1_full,C,1,full,1,1825,5y,24096,24096,75,124,success,,0.5529,0.4091,0.7471,0.00011470334102265954,0.1536,48192.0,199.0,14.0
AvsC_1to1_full,C,1,full,2,365,1y,24096,24096,17,61,failed,non-convergence,,,,,,,,
AvsC_1to1_full,C,1,full,2,730,2y,24096,24096,35,86,failed,non-convergence,,,,,,,,
AvsC_1to1_full,C,1,full,2,1095,3y,24096,24096,52,97,failed,non-convergence,,,,,,,,
AvsC_1to1_full,C,1,full,2,1825,5y,24096,24096,75,138,failed,non-convergence,,,,,,,,
AvsC_1to1_full,C,1,full,3,365,1y,24096,24096,17,53,success,,0.3023,0.1735,0.5266,2.397153046738201e-05,0.2832,48192.0,70.0,14.0
AvsC_1to1_full,C,1,full,3,730,2y,24096,24096,35,76,failed,non-convergence,,,,,,,,
