cell,comparator,ratio,adjustment,seed,window_days,window_label,n_treat,n_ctrl,events_treat,events_ctrl,status,hr,ci_lower,ci_upper,p_value,n_events,n,concordance
AvsC_1to1_full,C,1,full,6,1095,3y,24096,24096,52,93,success,0.8722,0.7457,1.0201,0.08703578922412912,145,48192,0.9604
AvsC_1to1_full,C,1,full,6,1825,5y,24096,24096,75,130,success,0.8445,0.7271,0.9809,0.02691455154554606,205,48192,0.9662
AvsC_1to1_full,C,1,full,7,365,1y,24096,24096,17,76,success,0.8105,0.6882,0.9546,0.011832779029810675,93,48192,0.9619
AvsC_1to1_full,C,1,full,7,730,2y,24096,24096,35,97,success,0.8102,0.6915,0.9492,0.00919006325914937,132,48192,0.9615
AvsC_1to1_full,C,1,full,7,1095,3y,24096,24096,52,134,success,0.7698,0.6613,0.8961,0.0007388227494887166,186,48192,0.9661
AvsC_1to1_full,C,1,full,7,1825,5y,24096,24096,75,170,success,0.7545,0.6521,0.8729,0.00015183318919464043,245,48192,0.9705
AvsC_1to1_full,C,1,full,8,365,1y,24096,24096,17,42,success,0.9095,0.7684,1.0765,0.27016883465384245,59,48192,0.958
AvsC_1to1_full,C,1,full,8,730,2y,24096,24096,35,68,success,0.8888,0.7557,1.0452,0.1539706413492002,103,48192,0.9589
AvsC_1to1_full,C,1,full,8,1095,3y,24096,24096,52,99,success,0.8536,0.7304,0.9977,0.0466626831430514,151,48192,0.9592
AvsC_1to1_full,C,1,full,8,1825,5y,24096,24096,75,122,success,0.8591,0.739,0.9987,0.048012909777019844,197,48192,0.9638
AvsC_1to1_full,C,1,full,9,365,1y,24096,24096,17,45,success,0.9007,0.7614,1.0656,0.22284882991548477,62,48192,0.948
AvsC_1to1_full,C,1,full,9,730,2y,24096,24096,35,85,success,0.8423,0.7179,0.9883,0.03540939182864015,120,48192,0.9558
AvsC_1to1_full,C,1,full,9,1095,3y,24096,24096,52,113,success,0.8216,0.7041,0.9586,0.012535169759820839,165,48192,0.9589
AvsC_1to1_full,C,1,full,9,1825,5y,24096,24096,75,154,success,0.7908,0.6825,0.9163,0.0017937158026607792,229,48192,0.9651
AvsC_1to1_simple,C,1,simple,0,365,1y,24096,24096,17,2,success,1.0617,0.8912,1.265,0.5025645858303296,19,48192,0.9625
AvsC_1to1_simple,C,1,simple,0,730,2y,24096,24096,35,24,success,1.0417,0.8801,1.2329,0.6348590002785706,59,48192,0.9443
AvsC_1to1_simple,C,1,simple,0,1095,3y,24096,24096,52,63,success,0.964,0.8211,1.1317,0.6538593312065148,115,48192,0.943
AvsC_1to1_simple,C,1,simple,0,1825,5y,24096,24096,75,65,success,1.0329,0.8827,1.2087,0.6864382689434827,140,48192,0.949
AvsC_1to2_full,C,2,full,0,365,1y,24096,48187,17,89,success,0.9016,0.7802,1.0419,0.16040843986068273,106,72283,0.9551
AvsC_1to2_full,C,2,full,0,730,2y,24096,48187,35,145,success,0.8749,0.7615,1.0052,0.059243648723258206,180,72283,0.9555
AvsC_1to2_full,C,2,full,0,1095,3y,24096,48187,52,197,success,0.8545,0.7473,0.9771,0.021506771560813695,249,72283,0.9611
