cell,comparator,ratio,adjustment,seed,window_days,window_label,n_treat,n_ctrl,events_treat,events_ctrl,ir_treat,ir_treat_lo,ir_treat_hi,ir_ctrl,ir_ctrl_lo,ir_ctrl_hi,irr,irr_lo,irr_hi
AvsC_1to1_full,C,1,full,6,730,2y,24096,24096,35,78,0.7273,0.5066,1.0115,1.6231,1.283,2.0257,0.4481,0.3007,0.6676
AvsC_1to1_full,C,1,full,6,1095,3y,24096,24096,52,93,0.7206,0.5382,0.945,1.2908,1.0418,1.5813,0.5583,0.3976,0.7838
AvsC_1to1_full,C,1,full,6,1825,5y,24096,24096,75,130,0.624,0.4908,0.7822,1.0835,0.9053,1.2866,0.5759,0.4334,0.7652
AvsC_1to1_full,C,1,full,7,365,1y,24096,24096,17,76,0.7063,0.4114,1.1308,3.1629,2.492,3.9589,0.2233,0.132,0.3778
AvsC_1to1_full,C,1,full,7,730,2y,24096,24096,35,97,0.7273,0.5066,1.0115,2.02,1.6381,2.4642,0.36,0.2446,0.5299
AvsC_1to1_full,C,1,full,7,1095,3y,24096,24096,52,134,0.7206,0.5382,0.945,1.8617,1.5598,2.2049,0.3871,0.281,0.5332
AvsC_1to1_full,C,1,full,7,1825,5y,24096,24096,75,170,0.624,0.4908,0.7822,1.4185,1.2133,1.6485,0.4399,0.3352,0.5772
AvsC_1to1_full,C,1,full,8,365,1y,24096,24096,17,42,0.7063,0.4114,1.1308,1.7463,1.2586,2.3605,0.4045,0.2302,0.7105
AvsC_1to1_full,C,1,full,8,730,2y,24096,24096,35,68,0.7273,0.5066,1.0115,1.4146,1.0985,1.7933,0.5141,0.342,0.773
AvsC_1to1_full,C,1,full,8,1095,3y,24096,24096,52,99,0.7206,0.5382,0.945,1.3737,1.1165,1.6725,0.5246,0.375,0.7338
AvsC_1to1_full,C,1,full,8,1825,5y,24096,24096,75,122,0.624,0.4908,0.7822,1.0166,0.8442,1.2138,0.6138,0.4604,0.8183
AvsC_1to1_full,C,1,full,9,365,1y,24096,24096,17,45,0.7063,0.4114,1.1308,1.871,1.3647,2.5035,0.3775,0.2161,0.6595
AvsC_1to1_full,C,1,full,9,730,2y,24096,24096,35,85,0.7273,0.5066,1.0115,1.7686,1.4127,2.1869,0.4112,0.2774,0.6096
AvsC_1to1_full,C,1,full,9,1095,3y,24096,24096,52,113,0.7206,0.5382,0.945,1.5685,1.2927,1.8858,0.4594,0.3308,0.638
AvsC_1to1_full,C,1,full,9,1825,5y,24096,24096,75,154,0.624,0.4908,0.7822,1.284,1.0892,1.5036,0.486,0.3688,0.6404
AvsC_1to1_simple,C,1,simple,0,365,1y,24096,24096,17,2,0.7063,0.4114,1.1308,0.0831,0.0101,0.3001,8.4994,1.9637,36.7884
AvsC_1to1_simple,C,1,simple,0,730,2y,24096,24096,35,24,0.7273,0.5066,1.0115,0.4984,0.3194,0.7416,1.4593,0.868,2.4532
AvsC_1to1_simple,C,1,simple,0,1095,3y,24096,24096,52,63,0.7206,0.5382,0.945,0.8728,0.6707,1.1167,0.8256,0.5719,1.192
AvsC_1to1_simple,C,1,simple,0,1825,5y,24096,24096,75,65,0.624,0.4908,0.7822,0.5407,0.4173,0.6892,1.1541,0.8279,1.6087
AvsC_1to2_full,C,2,full,0,365,1y,24096,48187,17,89,0.7063,0.4114,1.1308,1.8502,1.4859,2.2768,0.3817,0.2272,0.6413
AvsC_1to2_full,C,2,full,0,730,2y,24096,48187,35,145,0.7273,0.5066,1.0115,1.5083,1.2728,1.7747,0.4822,0.3334,0.6975
AvsC_1to2_full,C,2,full,0,1095,3y,24096,48187,52,197,0.7206,0.5382,0.945,1.3669,1.1827,1.5717,0.5272,0.3884,0.7156
