cell,comparator,ratio,adjustment,seed,window_days,window_label,n_treat,n_ctrl,events_treat,events_ctrl,status,hr,ci_lower,ci_upper,p_value,n_events,n,concordance
AvsC_1to1_full,C,1,full,7,1095,3y,52146,52146,445,849,success,0.7481,0.689,0.8122,4.530147186777337e-12,1294,104292,0.9573
AvsC_1to1_full,C,1,full,7,1825,5y,52146,52146,610,942,success,0.8248,0.7631,0.8915,1.200065048540844e-06,1552,104292,0.9572
AvsC_1to1_full,C,1,full,8,365,1y,52146,52146,234,309,success,0.9268,0.8398,1.0229,0.1311747309874972,543,104292,0.945
AvsC_1to1_full,C,1,full,8,730,2y,52146,52146,351,481,success,0.896,0.8182,0.9813,0.017966342704558165,832,104292,0.9461
AvsC_1to1_full,C,1,full,8,1095,3y,52146,52146,445,823,success,0.7509,0.6913,0.8156,1.0943785982926995e-11,1268,104292,0.9514
AvsC_1to1_full,C,1,full,8,1825,5y,52146,52146,610,935,success,0.813,0.7521,0.879,1.9531272977858233e-07,1545,104292,0.9518
AvsC_1to1_full,C,1,full,9,365,1y,52146,52146,234,171,success,1.1002,0.9925,1.2197,0.06936190575116183,405,104292,0.9438
AvsC_1to1_full,C,1,full,9,730,2y,52146,52146,351,296,success,1.0859,0.987,1.1947,0.09060165108943243,647,104292,0.9446
AvsC_1to1_full,C,1,full,9,1095,3y,52146,52146,445,383,success,1.0953,1.0003,1.1994,0.04923737112159347,828,104292,0.9465
AvsC_1to1_full,C,1,full,9,1825,5y,52146,52146,610,546,success,1.0996,1.0113,1.1957,0.026227842461128057,1156,104292,0.9493
AvsC_1to1_simple,C,1,simple,0,365,1y,52085,52085,234,690,success,0.624,0.5705,0.6824,5.251997352790313e-25,924,104170,0.8265
AvsC_1to1_simple,C,1,simple,0,730,2y,52085,52085,351,1042,success,0.5585,0.515,0.6058,8.022680945597758e-45,1393,104170,0.8273
AvsC_1to1_simple,C,1,simple,0,1095,3y,52085,52085,445,1042,success,0.6163,0.5694,0.6671,4.8101248589596555e-33,1487,104170,0.8164
AvsC_1to1_simple,C,1,simple,0,1825,5y,52085,52085,610,1042,success,0.7191,0.6664,0.7759,2.0213320346178527e-17,1652,104170,0.8072
AvsC_1to2_full,C,2,full,0,365,1y,52146,104292,234,373,success,1.0787,0.9867,1.1793,0.09572810818919883,607,156438,0.9528
AvsC_1to2_full,C,2,full,0,730,2y,52146,104292,351,539,success,1.1169,1.0272,1.2143,0.009607701470602584,890,156438,0.9522
AvsC_1to2_full,C,2,full,0,1095,3y,52146,104292,445,875,success,1.0276,0.9508,1.1106,0.4927154811721828,1320,156438,0.947
AvsC_1to2_full,C,2,full,0,1825,5y,52146,104292,610,1357,success,0.9619,0.8962,1.0324,0.2816490331759995,1967,156438,0.9505
AvsC_1to2_full,C,2,full,1,365,1y,52146,104292,234,758,success,0.8573,0.7886,0.932,0.0003029200729911986,992,156438,0.9523
AvsC_1to2_full,C,2,full,1,730,2y,52146,104292,351,1121,success,0.8244,0.7631,0.8905,9.463483673044118e-07,1472,156438,0.952
AvsC_1to2_full,C,2,full,1,1095,3y,52146,104292,445,1422,success,0.8019,0.7454,0.8627,3.1376686053159928e-09,1867,156438,0.9519
AvsC_1to2_full,C,2,full,1,1825,5y,52146,104292,610,1673,success,0.8538,0.7971,0.9145,6.4814978673351156e-06,2283,156438,0.9527
AvsC_1to2_full,C,2,full,2,365,1y,52146,104292,234,512,success,0.9791,0.8977,1.0679,0.6338366276258434,746,156438,0.9475
AvsC_1to2_full,C,2,full,2,730,2y,52146,104292,351,781,success,0.9599,0.8857,1.0404,0.3195204972464999,1132,156438,0.9516
AvsC_1to2_full,C,2,full,2,1095,3y,52146,104292,445,992,success,0.961,0.8903,1.0374,0.30785217861812286,1437,156438,0.9538
AvsC_1to2_full,C,2,full,2,1825,5y,52146,104292,610,1480,success,0.9043,0.8433,0.9697,0.004751580217429373,2090,156438,0.9543
