cell,comparator,ratio,adjustment,seed,window_days,window_label,n_treat,n_ctrl,events_treat,events_ctrl,ir_treat,ir_treat_lo,ir_treat_hi,ir_ctrl,ir_ctrl_lo,ir_ctrl_hi,irr,irr_lo,irr_hi
AvsC_1to1_full,C,1,full,7,1825,5y,52146,52146,610,942,2.3585,2.175,2.5533,3.6569,3.4271,3.8981,0.6449,0.5825,0.7141
AvsC_1to1_full,C,1,full,8,365,1y,52146,52146,234,309,4.5038,3.9452,5.1193,5.9482,5.3034,6.6498,0.7572,0.6389,0.8973
AvsC_1to1_full,C,1,full,8,730,2y,52146,52146,351,481,3.3825,3.0378,3.7555,4.6398,4.2343,5.0736,0.729,0.6353,0.8366
AvsC_1to1_full,C,1,full,8,1095,3y,52146,52146,445,823,2.8621,2.6023,3.1408,5.3095,4.9529,5.685,0.5391,0.4803,0.6049
AvsC_1to1_full,C,1,full,8,1825,5y,52146,52146,610,935,2.3585,2.175,2.5533,3.6315,3.4024,3.8719,0.6495,0.5865,0.7192
AvsC_1to1_full,C,1,full,9,365,1y,52146,52146,234,171,4.5038,3.9452,5.1193,3.2878,2.8135,3.8192,1.3699,1.1247,1.6684
AvsC_1to1_full,C,1,full,9,730,2y,52146,52146,351,296,3.3825,3.0378,3.7555,2.8497,2.5343,3.1935,1.187,1.0169,1.3855
AvsC_1to1_full,C,1,full,9,1095,3y,52146,52146,445,383,2.8621,2.6023,3.1408,2.4609,2.2206,2.7201,1.163,1.0145,1.3333
AvsC_1to1_full,C,1,full,9,1825,5y,52146,52146,610,546,2.3585,2.175,2.5533,2.1089,1.9357,2.2934,1.1184,0.9964,1.2552
AvsC_1to1_simple,C,1,simple,0,365,1y,52085,52085,234,690,4.5091,3.9498,5.1253,13.3828,12.4028,14.4197,0.3369,0.2905,0.3908
AvsC_1to1_simple,C,1,simple,0,730,2y,52085,52085,351,1042,3.3864,3.0414,3.7599,10.1356,9.5294,10.7702,0.3341,0.296,0.3771
AvsC_1to1_simple,C,1,simple,0,1095,3y,52085,52085,445,1042,2.8655,2.6054,3.1445,6.7744,6.3693,7.1985,0.423,0.3786,0.4726
AvsC_1to1_simple,C,1,simple,0,1825,5y,52085,52085,610,1042,2.3613,2.1776,2.5563,4.073,3.8294,4.328,0.5797,0.5246,0.6407
AvsC_1to2_full,C,2,full,0,365,1y,52146,104292,234,373,4.5038,3.9452,5.1193,3.5869,3.2321,3.97,1.2556,1.0663,1.4786
AvsC_1to2_full,C,2,full,0,730,2y,52146,104292,351,539,3.3825,3.0378,3.7555,2.5947,2.3802,2.8232,1.3036,1.1396,1.4912
AvsC_1to2_full,C,2,full,0,1095,3y,52146,104292,445,875,2.8621,2.6023,3.1408,2.8116,2.6284,3.0042,1.018,0.9082,1.141
AvsC_1to2_full,C,2,full,0,1825,5y,52146,104292,610,1357,2.3585,2.175,2.5533,2.6228,2.4851,2.7662,0.8992,0.8173,0.9894
AvsC_1to2_full,C,2,full,1,365,1y,52146,104292,234,758,4.5038,3.9452,5.1193,7.3037,6.7929,7.8426,0.6166,0.5326,0.714
AvsC_1to2_full,C,2,full,1,730,2y,52146,104292,351,1121,3.3825,3.0378,3.7555,5.4129,5.1006,5.7392,0.6249,0.5543,0.7045
AvsC_1to2_full,C,2,full,1,1095,3y,52146,104292,445,1422,2.8621,2.6023,3.1408,4.586,4.3507,4.8308,0.6241,0.5611,0.6942
AvsC_1to2_full,C,2,full,1,1825,5y,52146,104292,610,1673,2.3585,2.175,2.5533,3.2461,3.0924,3.4054,0.7266,0.6622,0.7971
AvsC_1to2_full,C,2,full,2,365,1y,52146,104292,234,512,4.5038,3.9452,5.1193,4.9267,4.5091,5.3725,0.9142,0.7832,1.0671
AvsC_1to2_full,C,2,full,2,730,2y,52146,104292,351,781,3.3825,3.0378,3.7555,3.7634,3.504,4.0368,0.8988,0.7924,1.0194
AvsC_1to2_full,C,2,full,2,1095,3y,52146,104292,445,992,2.8621,2.6023,3.1408,3.1913,2.9957,3.3962,0.8968,0.802,1.003
AvsC_1to2_full,C,2,full,2,1825,5y,52146,104292,610,1480,2.3585,2.175,2.5533,2.864,2.7199,3.0137,0.8235,0.7494,0.9049
