cell,comparator,ratio,adjustment,seed,window_days,window_label,n_treat,n_ctrl,events_treat,events_ctrl,status,or,ci_lower,ci_upper,p_value,se,n,n_events,n_covariates,reason
AvsC_1to1_full,C,1,full,0,1825,5y,52146,52146,610,534,success,1.2516,1.1049,1.4177,0.0004173605851912832,0.0636,104292.0,1144.0,14.0,
AvsC_1to1_full,C,1,full,1,365,1y,52146,52146,234,352,failed,,,,,,,,,non-convergence
AvsC_1to1_full,C,1,full,1,730,2y,52146,52146,351,464,success,0.8207,0.7087,0.9505,0.00832637343076197,0.0749,104292.0,815.0,14.0,
AvsC_1to1_full,C,1,full,1,1095,3y,52146,52146,445,562,failed,,,,,,,,,non-convergence
AvsC_1to1_full,C,1,full,1,1825,5y,52146,52146,610,660,success,1.0473,0.9299,1.1795,0.4465152227528596,0.0607,104292.0,1270.0,14.0,
AvsC_1to1_full,C,1,full,2,365,1y,52146,52146,234,285,success,0.8301,0.6932,0.9939,0.04274326965406815,0.0919,104292.0,519.0,14.0,
AvsC_1to1_full,C,1,full,2,730,2y,52146,52146,351,423,success,0.8141,0.7007,0.9459,0.007233569812347643,0.0766,104292.0,774.0,14.0,
AvsC_1to1_full,C,1,full,2,1095,3y,52146,52146,445,547,failed,,,,,,,,,non-convergence
AvsC_1to1_full,C,1,full,2,1825,5y,52146,52146,610,788,success,0.7538,0.6714,0.8464,1.727192995532721e-06,0.0591,104292.0,1398.0,14.0,
AvsC_1to1_full,C,1,full,3,365,1y,52146,52146,234,230,success,1.1048,0.9144,1.3349,0.30189533671118907,0.0965,104292.0,464.0,14.0,
AvsC_1to1_full,C,1,full,3,730,2y,52146,52146,351,359,success,1.0369,0.888,1.2109,0.6465750253887317,0.0791,104292.0,710.0,14.0,
AvsC_1to1_full,C,1,full,3,1095,3y,52146,52146,445,442,failed,,,,,,,,,non-convergence
AvsC_1to1_full,C,1,full,3,1825,5y,52146,52146,610,648,success,1.0135,0.8998,1.1416,0.8245878855158606,0.0607,104292.0,1258.0,14.0,
AvsC_1to1_full,C,1,full,4,365,1y,52146,52146,234,215,failed,,,,,,,,,non-convergence
AvsC_1to1_full,C,1,full,4,730,2y,52146,52146,351,315,failed,,,,,,,,,non-convergence
AvsC_1to1_full,C,1,full,4,1095,3y,52146,52146,445,410,success,1.0622,0.9216,1.2243,0.40470666966318325,0.0725,104292.0,855.0,14.0,
AvsC_1to1_full,C,1,full,4,1825,5y,52146,52146,610,599,success,1.0479,0.9282,1.1831,0.44970772066549314,0.0619,104292.0,1209.0,14.0,
AvsC_1to1_full,C,1,full,5,365,1y,52146,52146,234,246,success,1.0178,0.8456,1.2251,0.8519293227907629,0.0946,104292.0,480.0,14.0,
AvsC_1to1_full,C,1,full,5,730,2y,52146,52146,351,419,success,0.9091,0.7828,1.0557,0.21144893262641418,0.0763,104292.0,770.0,14.0,
AvsC_1to1_full,C,1,full,5,1095,3y,52146,52146,445,495,failed,,,,,,,,,non-convergence
AvsC_1to1_full,C,1,full,5,1825,5y,52146,52146,610,620,success,1.0705,0.9488,1.2079,0.26855357070183694,0.0616,104292.0,1230.0,14.0,
AvsC_1to1_full,C,1,full,6,365,1y,52146,52146,234,254,success,0.941,0.7801,1.1352,0.5252751541415794,0.0957,104292.0,488.0,14.0,
AvsC_1to1_full,C,1,full,6,730,2y,52146,52146,351,364,success,0.941,0.8049,1.1,0.44494836897153256,0.0797,104292.0,715.0,14.0,
AvsC_1to1_full,C,1,full,6,1095,3y,52146,52146,445,564,success,0.79,0.6911,0.903,0.0005495530249358455,0.0682,104292.0,1009.0,14.0,
AvsC_1to1_full,C,1,full,6,1825,5y,52146,52146,610,657,success,0.938,0.8319,1.0575,0.295242227431153,0.0612,104292.0,1267.0,14.0,
AvsC_1to1_full,C,1,full,7,365,1y,52146,52146,234,270,failed,,,,,,,,,non-convergence
AvsC_1to1_full,C,1,full,7,730,2y,52146,52146,351,452,success,0.9368,0.8087,1.0852,0.3841273751458977,0.075,104292.0,803.0,14.0,
AvsC_1to1_full,C,1,full,7,1095,3y,52146,52146,445,849,failed,,,,,,,,,non-convergence
AvsC_1to1_full,C,1,full,7,1825,5y,52146,52146,610,942,success,0.7964,0.7115,0.8913,7.445150948761657e-05,0.0575,104292.0,1552.0,14.0,
AvsC_1to1_full,C,1,full,8,365,1y,52146,52146,234,309,success,0.8377,0.7005,1.0018,0.05235071797469426,0.0913,104292.0,543.0,14.0,
AvsC_1to1_full,C,1,full,8,730,2y,52146,52146,351,481,success,0.803,0.6935,0.9297,0.0033433392965223304,0.0748,104292.0,832.0,14.0,
AvsC_1to1_full,C,1,full,8,1095,3y,52146,52146,445,823,success,0.5842,0.5147,0.6632,9.827654486422281e-17,0.0647,104292.0,1268.0,14.0,
AvsC_1to1_full,C,1,full,8,1825,5y,52146,52146,610,935,success,0.7108,0.6347,0.796,3.408094687929337e-09,0.0578,104292.0,1545.0,14.0,
AvsC_1to1_full,C,1,full,9,365,1y,52146,52146,234,171,success,1.4977,1.2233,1.8335,9.12123936738413e-05,0.1032,104292.0,405.0,14.0,
AvsC_1to1_full,C,1,full,9,730,2y,52146,52146,351,296,success,1.303,1.1096,1.5301,0.0012430196373896675,0.082,104292.0,647.0,14.0,
AvsC_1to1_full,C,1,full,9,1095,3y,52146,52146,445,383,success,1.292,1.1196,1.491,0.00045400225625683656,0.0731,104292.0,828.0,14.0,
AvsC_1to1_full,C,1,full,9,1825,5y,52146,52146,610,546,success,1.2591,1.1132,1.4241,0.0002450602006091423,0.0628,104292.0,1156.0,14.0,
AvsC_1to1_simple,C,1,simple,0,365,1y,52085,52085,234,690,success,0.3321,0.286,0.3856,2.0610964666931806e-47,0.0762,104170.0,924.0,6.0,
AvsC_1to1_simple,C,1,simple,0,730,2y,52085,52085,351,1042,success,0.3269,0.2892,0.3694,8.247944543434411e-72,0.0624,104170.0,1393.0,6.0,
AvsC_1to1_simple,C,1,simple,0,1095,3y,52085,52085,445,1042,success,0.4162,0.3719,0.4657,1.0433023109431277e-52,0.0574,104170.0,1487.0,6.0,
AvsC_1to1_simple,C,1,simple,0,1825,5y,52085,52085,610,1042,success,0.5747,0.5192,0.6361,1.0793375672784097e-26,0.0518,104170.0,1652.0,6.0,
AvsC_1to2_full,C,2,full,0,365,1y,52146,104292,234,373,success,1.4488,1.2212,1.7188,2.125209474299425e-05,0.0872,156438.0,607.0,14.0,
AvsC_1to2_full,C,2,full,0,730,2y,52146,104292,351,539,success,1.4559,1.2638,1.6772,1.9652841006137762e-07,0.0722,156438.0,890.0,14.0,
AvsC_1to2_full,C,2,full,0,1095,3y,52146,104292,445,875,success,1.1173,0.9904,1.2604,0.07137880219635616,0.0615,156438.0,1320.0,14.0,
AvsC_1to2_full,C,2,full,0,1825,5y,52146,104292,610,1357,success,0.944,0.8515,1.0466,0.27373814883985736,0.0526,156438.0,1967.0,14.0,
AvsC_1to2_full,C,2,full,1,365,1y,52146,104292,234,758,success,0.6992,0.6001,0.8147,4.461802557599951e-06,0.078,156438.0,992.0,14.0,
AvsC_1to2_full,C,2,full,1,730,2y,52146,104292,351,1121,failed,,,,,,,,,non-convergence
AvsC_1to2_full,C,2,full,1,1095,3y,52146,104292,445,1422,success,0.6581,0.5876,0.7371,4.762161448239232e-13,0.0578,156438.0,1867.0,14.0,
AvsC_1to2_full,C,2,full,1,1825,5y,52146,104292,610,1673,success,0.7817,0.707,0.8642,1.5235230212969798e-06,0.0512,156438.0,2283.0,14.0,
AvsC_1to2_full,C,2,full,2,365,1y,52146,104292,234,512,success,0.9133,0.7777,1.0725,0.2687084581017394,0.082,156438.0,746.0,14.0,
AvsC_1to2_full,C,2,full,2,730,2y,52146,104292,351,781,success,0.8574,0.75,0.9802,0.02426747141836406,0.0683,156438.0,1132.0,14.0,
AvsC_1to2_full,C,2,full,2,1095,3y,52146,104292,445,992,success,0.8843,0.7843,0.9971,0.044654159229106004,0.0612,156438.0,1437.0,14.0,
AvsC_1to2_full,C,2,full,2,1825,5y,52146,104292,610,1480,success,0.7874,0.7103,0.8729,5.5474558453470985e-06,0.0526,156438.0,2090.0,14.0,
AvsC_1to2_full,C,2,full,3,365,1y,52146,104292,234,506,success,0.9977,0.8489,1.1726,0.9777582508758759,0.0824,156438.0,740.0,14.0,
AvsC_1to2_full,C,2,full,3,730,2y,52146,104292,351,773,failed,,,,,,,,,non-convergence
AvsC_1to2_full,C,2,full,3,1095,3y,52146,104292,445,986,success,0.9586,0.8509,1.0799,0.4865770324085995,0.0608,156438.0,1431.0,14.0,
AvsC_1to2_full,C,2,full,3,1825,5y,52146,104292,610,1359,success,0.959,0.8652,1.063,0.42562375188906687,0.0525,156438.0,1969.0,14.0,
AvsC_1to2_full,C,2,full,4,365,1y,52146,104292,234,514,failed,,,,,,,,,non-convergence
AvsC_1to2_full,C,2,full,4,730,2y,52146,104292,351,851,failed,,,,,,,,,non-convergence
AvsC_1to2_full,C,2,full,4,1095,3y,52146,104292,445,1013,success,0.9052,0.8041,1.019,0.09929847104070516,0.0604,156438.0,1458.0,14.0,
AvsC_1to2_full,C,2,full,4,1825,5y,52146,104292,610,1361,success,0.9848,0.8885,1.0916,0.7709845305171481,0.0525,156438.0,1971.0,14.0,
AvsC_1to2_full,C,2,full,5,365,1y,52146,104292,234,530,success,0.9221,0.7861,1.0816,0.3192558471126652,0.0814,156438.0,764.0,14.0,
AvsC_1to2_full,C,2,full,5,730,2y,52146,104292,351,790,failed,,,,,,,,,non-convergence
AvsC_1to2_full,C,2,full,5,1095,3y,52146,104292,445,947,success,0.9868,0.8753,1.1124,0.8273330517114585,0.0611,156438.0,1392.0,14.0,
AvsC_1to2_full,C,2,full,5,1825,5y,52146,104292,610,1219,success,1.042,0.9381,1.1573,0.4426588951109055,0.0536,156438.0,1829.0,14.0,
AvsC_1to2_full,C,2,full,6,365,1y,52146,104292,234,643,success,0.7054,0.6015,0.8272,1.7526770297160274e-05,0.0813,156438.0,877.0,14.0,
AvsC_1to2_full,C,2,full,6,730,2y,52146,104292,351,847,success,0.7739,0.6772,0.8844,0.0001666321929580324,0.0681,156438.0,1198.0,14.0,
AvsC_1to2_full,C,2,full,6,1095,3y,52146,104292,445,1212,success,0.7172,0.6378,0.8065,2.781332630186419e-08,0.0598,156438.0,1657.0,14.0,
AvsC_1to2_full,C,2,full,6,1825,5y,52146,104292,610,1452,success,0.8125,0.7327,0.901,8.23756545131444e-05,0.0527,156438.0,2062.0,14.0,
AvsC_1to2_full,C,2,full,7,365,1y,52146,104292,234,535,success,1.1021,0.9388,1.2937,0.23493318601185142,0.0818,156438.0,769.0,14.0,
AvsC_1to2_full,C,2,full,7,730,2y,52146,104292,351,887,failed,,,,,,,,,non-convergence
AvsC_1to2_full,C,2,full,7,1095,3y,52146,104292,445,1393,failed,,,,,,,,,non-convergence
AvsC_1to2_full,C,2,full,7,1825,5y,52146,104292,610,1695,success,0.8962,0.8099,0.9918,0.03410207320964941,0.0517,156438.0,2305.0,14.0,
AvsC_1to2_full,C,2,full,8,365,1y,52146,104292,234,584,success,0.9253,0.7904,1.0831,0.33383784417652895,0.0804,156438.0,818.0,14.0,
AvsC_1to2_full,C,2,full,8,730,2y,52146,104292,351,876,failed,,,,,,,,,non-convergence
AvsC_1to2_full,C,2,full,8,1095,3y,52146,104292,445,1381,failed,,,,,,,,,non-convergence
AvsC_1to2_full,C,2,full,8,1825,5y,52146,104292,610,1696,success,0.8159,0.7383,0.9017,6.637973229082692e-05,0.051,156438.0,2306.0,14.0,
AvsC_1to2_full,C,2,full,9,365,1y,52146,104292,234,464,success,1.0206,0.8685,1.1993,0.8047201101976443,0.0823,156438.0,698.0,14.0,
AvsC_1to2_full,C,2,full,9,730,2y,52146,104292,351,688,success,1.0504,0.9192,1.2003,0.47013605446829654,0.0681,156438.0,1039.0,14.0,
AvsC_1to2_full,C,2,full,9,1095,3y,52146,104292,445,984,success,0.9408,0.8367,1.0578,0.30744801239560027,0.0598,156438.0,1429.0,14.0,
AvsC_1to2_full,C,2,full,9,1825,5y,52146,104292,610,1269,success,1.0189,0.9194,1.1292,0.7208396700296689,0.0524,156438.0,1879.0,14.0,
AvsC_1to2_simple,C,2,simple,0,365,1y,52085,104170,234,1030,failed,,,,,,,,,non-convergence
AvsC_1to2_simple,C,2,simple,0,730,2y,52085,104170,351,1453,success,0.4752,0.4225,0.5345,2.6554697026310124e-35,0.06,156255.0,1804.0,6.0,
AvsC_1to2_simple,C,2,simple,0,1095,3y,52085,104170,445,1453,success,0.605,0.5434,0.6735,4.430061835835729e-20,0.0548,156255.0,1898.0,6.0,
AvsC_1to2_simple,C,2,simple,0,1825,5y,52085,104170,610,2258,success,0.5282,0.4823,0.5785,4.086457846830435e-43,0.0464,156255.0,2868.0,6.0,
